fips,county,year,age,pop_female,pop_male,pop_total
6001,ALAMEDA,2017,0,9343,10293,19636
6001,ALAMEDA,2017,1,9388,10080,19468
6001,ALAMEDA,2017,2,9434,10004,19438
6001,ALAMEDA,2017,3,9664,9862,19526
6001,ALAMEDA,2017,4,9496,9993,19489
6001,ALAMEDA,2017,5,9249,9766,19015
6001,ALAMEDA,2017,6,9322,9842,19164
6001,ALAMEDA,2017,7,9443,9697,19140
6001,ALAMEDA,2017,8,9311,9842,19153
6001,ALAMEDA,2017,9,9610,10207,19817
6001,ALAMEDA,2017,10,9678,10319,19997
6001,ALAMEDA,2017,11,9334,10082,19416
6001,ALAMEDA,2017,12,9358,9930,19288
6001,ALAMEDA,2017,13,9605,9712,19317
6001,ALAMEDA,2017,14,9224,9539,18763
6001,ALAMEDA,2017,15,9168,9519,18687
6001,ALAMEDA,2017,16,9139,9563,18702
6001,ALAMEDA,2017,17,9190,9667,18857
6001,ALAMEDA,2017,18,12106,12804,24910
6001,ALAMEDA,2017,19,12191,12374,24565
6001,ALAMEDA,2017,20,12077,12434,24511
6001,ALAMEDA,2017,21,12268,12623,24891
6001,ALAMEDA,2017,22,11511,12447,23958
6001,ALAMEDA,2017,23,11719,12413,24132
6001,ALAMEDA,2017,24,12049,12697,24746
6001,ALAMEDA,2017,25,11699,11845,23544
6001,ALAMEDA,2017,26,11241,11085,22326
6001,ALAMEDA,2017,27,11839,11765,23604
6001,ALAMEDA,2017,28,11814,11789,23603
6001,ALAMEDA,2017,29,11897,11737,23634
6001,ALAMEDA,2017,30,12011,11913,23924
6001,ALAMEDA,2017,31,11763,11715,23478
6001,ALAMEDA,2017,32,12844,12432,25276
6001,ALAMEDA,2017,33,13036,12618,25654
6001,ALAMEDA,2017,34,12982,12733,25715
6001,ALAMEDA,2017,35,13107,12520,25627
6001,ALAMEDA,2017,36,12195,12036,24231
6001,ALAMEDA,2017,37,12639,12472,25111
6001,ALAMEDA,2017,38,11646,11111,22757
6001,ALAMEDA,2017,39,11610,11262,22872
6001,ALAMEDA,2017,40,11620,10868,22488
6001,ALAMEDA,2017,41,11342,11054,22396
6001,ALAMEDA,2017,42,11897,11718,23615
6001,ALAMEDA,2017,43,11459,11172,22631
6001,ALAMEDA,2017,44,11469,11182,22651
6001,ALAMEDA,2017,45,11608,11279,22887
6001,ALAMEDA,2017,46,11823,11687,23510
6001,ALAMEDA,2017,47,12458,12459,24917
6001,ALAMEDA,2017,48,11509,11488,22997
6001,ALAMEDA,2017,49,10803,10744,21547
6001,ALAMEDA,2017,50,10555,10567,21122
6001,ALAMEDA,2017,51,10703,10539,21242
6001,ALAMEDA,2017,52,11456,11193,22649
6001,ALAMEDA,2017,53,11513,10969,22482
6001,ALAMEDA,2017,54,11295,11096,22391
6001,ALAMEDA,2017,55,11192,10761,21953
6001,ALAMEDA,2017,56,11173,10502,21675
6001,ALAMEDA,2017,57,11224,11050,22274
6001,ALAMEDA,2017,58,10838,10312,21150
6001,ALAMEDA,2017,59,10737,10235,20972
6001,ALAMEDA,2017,60,10447,9903,20350
6001,ALAMEDA,2017,61,10164,9412,19576
6001,ALAMEDA,2017,62,10368,9525,19893
6001,ALAMEDA,2017,63,9638,8950,18588
6001,ALAMEDA,2017,64,9448,8369,17817
6001,ALAMEDA,2017,65,9147,8212,17359
6001,ALAMEDA,2017,66,8704,7320,16024
6001,ALAMEDA,2017,67,8746,7796,16542
6001,ALAMEDA,2017,68,8234,7264,15498
6001,ALAMEDA,2017,69,7981,6970,14951
6001,ALAMEDA,2017,70,7918,6810,14728
6001,ALAMEDA,2017,71,6426,5491,11917
6001,ALAMEDA,2017,72,6151,5251,11402
6001,ALAMEDA,2017,73,5517,4759,10276
6001,ALAMEDA,2017,74,5287,4433,9720
6001,ALAMEDA,2017,75,4975,3968,8943
6001,ALAMEDA,2017,76,4398,3524,7922
6001,ALAMEDA,2017,77,4363,3414,7777
6001,ALAMEDA,2017,78,3833,3026,6859
6001,ALAMEDA,2017,79,3680,2833,6513
6001,ALAMEDA,2017,80,3454,2497,5951
6001,ALAMEDA,2017,81,3270,2405,5675
6001,ALAMEDA,2017,82,3057,2137,5194
6001,ALAMEDA,2017,83,2731,1883,4614
6001,ALAMEDA,2017,84,2623,1828,4451
6001,ALAMEDA,2017,85,2606,1692,4298
6001,ALAMEDA,2017,86,2528,1499,4027
6001,ALAMEDA,2017,87,2322,1308,3630
6001,ALAMEDA,2017,88,2014,1125,3139
6001,ALAMEDA,2017,89,1822,984,2806
6001,ALAMEDA,2017,90,1771,973,2744
6001,ALAMEDA,2017,91,1583,742,2325
